codigo,fase,bloco,arquivo,notebook,titulo,hipotese,descricao,tabelas,n_tabelas,audit_level,run_id,atualizado_em
Fig_3A01,3,A,fase3/Fig_3A01.png,notebooks/fase3/3A_indices_fisicos_semanais.ipynb,3A1 series semanais,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,cobertura.csv;fontes.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:49:50-0300
Fig_3A02,3,A,fase3/Fig_3A02.png,notebooks/fase3/3A_indices_fisicos_semanais.ipynb,3A2 hovmoller ssta,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,hovmoller.csv;epicentros.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:50:14-0300
Fig_3A03,3,A,fase3/Fig_3A03.png,notebooks/fase3/3A_indices_fisicos_semanais.ipynb,3A3 hovmoller sla taux,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,sla.csv;vento.csv,2,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:50:32-0300
Fig_3B01,3,B,fase3/Fig_3B01.png,notebooks/fase3/3B_alvo_eventos_ciclo_vida.ipynb,F3B — Trajetória média da SSTA nas quatro fases,HIP0,"Nível médio de SSTA por evento e fase, separando El Niño e La Niña; evento é a unidade inferencial.",estatisticas_fase.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:50:43-0300
Fig_3B02,3,B,fase3/Fig_3B02.png,notebooks/fase3/3B_alvo_eventos_ciclo_vida.ipynb,F3B — Persistência observada como duração das fases,HIP0,Duração de cada estado retrospectivo; resume persistência sem tratar semanas autocorrelacionadas como réplicas.,ciclo_eventos.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:50:43-0300
Fig_3B03,3,B,fase3/Fig_3B03.png,notebooks/fase3/3B_alvo_eventos_ciclo_vida.ipynb,F3B — Extremo de cada evento ENSO completo,HIP0,Magnitude e sinal do extremo de ONI para cada evento canônico completo.,eventos.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:50:44-0300
Fig_3B04,3,B,fase3/Fig_3B04.png,notebooks/fase3/3B_alvo_eventos_ciclo_vida.ipynb,F3B — Sensibilidade da faixa de pico,HIP0,"Distribuição entre eventos da duração do pico para limiares de 80%, 90% e 95% do extremo.",sensibilidade.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:50:44-0300
Fig_3C01,3,C,fase3/Fig_3C01.png,notebooks/fase3/3C_precursores_lags.ipynb,3C1 heatmap lags,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,correlacoes.csv;ranking.csv;screening.csv,3,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:50:56-0300
Fig_3C02,3,C,fase3/Fig_3C02.png,notebooks/fase3/3C_precursores_lags.ipynb,3C2 mapa lon lag,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,mapa_longitude_lag.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:51:02-0300
Fig_3D01,3,D,fase3/Fig_3D01.png,notebooks/fase3/3D_rigor_estatistico.ipynb,3D1 forest ic95,HIP0,Figura analítica F3 co-gerada das tabelas semânticas declaradas.,ranking_significativo.csv,1,semantic_source,20260713T152012Z_4f9efc67,2026-07-13T12:51:19-0300
